id,sales
2974158,0.0
2974159,0.0
2974160,0.0
2974161,2460.5647
2974162,0.0
2974163,464.38132
2974164,0.0
2974165,785.8284
2974166,798.5698
2974167,97.81467
2974168,171.5094
2974169,125.1252
2974170,3054.0645
2974171,8.258738
2974172,0.0
2974173,1.309127
2974174,0.0
2974175,0.0
2974176,142.70737
2974177,0.0
2974178,0.0
2974179,0.0
2974180,56.22854
2974181,0.0
2974182,399.16492
2974183,119.96129
2974184,0.0
2974185,0.0
2974186,383.96375
2974187,104.41554
2974188,2410.5754
2974189,0.0
2974190,4.0331545
2974191,0.0
2974192,0.0
2974193,0.0
2974194,1363.3936
2974195,0.0
2974196,131.49597
2974197,0.0
2974198,731.2689
2974199,316.6159
2974200,253.5337
2974201,41.305706
2974202,35.089973
2974203,2831.208
2974204,0.0
2974205,0.0
2974206,0.0
2974207,0.0
2974208,0.0
2974209,154.25319
2974210,0.0
2974211,0.0
2974212,0.0
2974213,23.74373
2974214,0.0
2974215,186.97873
2974216,135.64066
2974217,0.0
2974218,0.0
2974219,214.94025
2974220,16.68482
2974221,418.44763
2974222,0.0
2974223,0.0
2974224,7.1067905
2974225,1.3565449
2974226,0.0
2974227,4835.8447
2974228,2.529627
2974229,748.4373
2974230,8.491736
2974231,2198.997
2974232,762.33105
2974233,497.44604
2974234,154.05684
2974235,167.65085
2974236,8376.265
2974237,23.16524
2974238,3.085812
2974239,21.938818
2974240,3.7566488
2974241,2.131005
2974242,558.81854
2974243,8.491736
2974244,7.0982714
2974245,7.7694373
2974246,65.19282
2974247,5.174961
2974248,594.4115
2974249,470.82513
2974250,4.0237126
2974251,8.491736
2974252,547.8377
2974253,55.457195
2974254,3184.4648
2974255,104.17868
2974256,18.844349
2974257,0.6129539
2974258,1.0011799
2974259,0.23330048
2974260,1790.0826
2974261,1.149626
2974262,155.99829
2974263,0.04682409
2974264,811.8025
2974265,337.4951
2974266,214.80948
2974267,58.762295
2974268,47.058617
2974269,3005.113
2974270,9.65554
2974271,1.0767064
2974272,0.0
2974273,2.3023467
2974274,0.21735802
2974275,161.7324
2974276,0.04682409
2974277,0.057918184
2974278,9.783491
2974279,34.560413
2974280,0.0
2974281,167.9111
2974282,166.76082
2974283,1.5702937
2974284,0.04682409
2974285,141.43068
2974286,22.991104
2974287,643.3488
2974288,0.081708066
2974289,4.8176823
2974290,5.2274137
2974291,5.615642
2974292,4.659518
2974293,1579.3947
2974294,4.8919992
2974295,165.86354
2974296,4.661283
2974297,728.7387
2974298,268.15765
2974299,162.00082
2974300,50.41456
2974301,50.453045
2974302,2854.6936
2974303,14.27
2974304,5.650214
2974305,0.0
2974306,6.916811
2974307,4.8307786
2974308,148.62065
2974309,4.661283
2974310,4.8746405
2974311,4.661283
2974312,40.468212
2974313,4.4588184
2974314,149.40295
2974315,148.09328
2974316,5.681391
2974317,4.661283
2974318,124.10851
2974319,44.223804
2974320,327.30515
2974321,4.6961713
2974322,9.43214
2974323,0.0
2974324,0.0
2974325,0.0
2974326,1315.1704
2974327,0.0
2974328,206.81271
2974329,0.0
2974330,948.80927
2974331,392.26822
2974332,229.29282
2974333,67.236855
2974334,57.991066
2974335,2821.5928
2974336,3.8862622
2974337,0.0
2974338,4.430929
2974339,0.0
2974340,0.0
2974341,212.69308
2974342,0.0
2974343,0.0
2974344,0.0
2974345,33.293247
2974346,0.0
2974347,218.5543
2974348,241.73807
2974349,0.0
2974350,0.0
2974351,116.80288
2974352,56.0111
2974353,453.59766
2974354,0.0
2974355,1.5018545
2974356,0.0
2974357,0.0
2974358,0.0
2974359,2041.0881
2974360,0.0
2974361,223.43588
2974362,0.0
2974363,1037.651
2974364,483.03818
2974365,348.45865
2974366,53.986618
2974367,79.03988
2974368,3494.0703
2974369,2.1646914
2974370,0.0
2974371,2.204002
2974372,0.0
2974373,0.0
2974374,222.06856
2974375,0.0
2974376,0.0
2974377,0.0
2974378,36.259785
2974379,0.0
2974380,177.23795
2974381,250.45744
2974382,0.0
2974383,0.0
2974384,179.2382
2974385,26.808664
2974386,1162.3253
2974387,0.0
2974388,0.0
2974389,6.2506227
2974390,7.237975
2974391,6.868435
2974392,1537.164
2974393,4.7502112
2974394,131.48294
2974395,6.2335615
2974396,880.90875
2974397,252.47314
2974398,178.19368
2974399,128.74728
2974400,58.751217
2974401,2368.953
2974402,13.328285
2974403,4.9227834
2974404,16.930565
2974405,8.603862
2974406,5.064621
2974407,173.07959
2974408,6.2335615
2974409,6.182309
2974410,6.2335615
2974411,40.385418
2974412,6.195743
2974413,109.17183
2974414,144.18434
2974415,6.4421663
2974416,6.2335615
2974417,97.97047
2974418,39.915592
2974419,832.4024
2974420,6.649935
2974421,10.690496
2974422,23.661646
2974423,15.706043
2974424,15.540392
2974425,3503.8633
2974426,16.462717
2974427,341.2115
2974428,24.476107
2974429,1197.433
2974430,727.2787
2974431,495.21118
2974432,199.23833
2974433,139.38264
2974434,4794.997
2974435,31.531265
2974436,18.41381
2974437,52.443092
2974438,22.353077
2974439,15.583752
2974440,333.75687
2974441,24.476107
2974442,23.166372
2974443,146.00032
2974444,69.6896
2974445,21.170008
2974446,302.1342
2974447,347.55908
2974448,19.774412
2974449,24.476107
2974450,357.31494
2974451,89.467964
2974452,2279.6616
2974453,15.778858
2974454,31.05388
2974455,0.0
2974456,0.0
2974457,0.0
2974458,2902.658
2974459,0.0
2974460,652.1481
2974461,0.0
2974462,984.4662
2974463,613.9331
2974464,316.00787
2974465,140.99672
2974466,76.91126
2974467,3999.7695
2974468,1.6719228
2974469,0.0
2974470,0.0
2974471,0.0
2974472,0.0
2974473,253.14925
2974474,0.0
2974475,0.0
2974476,0.0
2974477,30.87465
2974478,0.0
2974479,211.15723
2974480,213.20387
2974481,0.0
2974482,0.0
2974483,271.29117
2974484,55.773342
2974485,2854.9688
2974486,109.88197
2974487,0.0
2974488,0.0
2974489,0.0
2974490,0.0
2974491,2236.193
2974492,0.0
2974493,172.82715
2974494,0.0
2974495,826.8375
2974496,337.32986
2974497,260.35458
2974498,53.08544
2974499,45.088505
2974500,3196.5034
2974501,4.993467
2974502,0.0
2974503,0.0
2974504,0.0
2974505,0.0
2974506,172.027
2974507,0.0
2974508,0.0
2974509,0.0
2974510,19.222155
2974511,0.0
