id,sales
2974158,145.97627
2974159,145.97627
2974160,145.97627
2974161,1639.3604
2974162,145.97627
2974163,456.88705
2974164,145.97627
2974165,686.3335
2974166,650.0112
2974167,317.2187
2974168,178.54329
2974169,188.5772
2974170,1923.0475
2974171,145.97627
2974172,145.97627
2974173,288.80634
2974174,170.27034
2974175,145.97627
2974176,280.06598
2974177,145.97627
2974178,145.97627
2974179,145.97627
2974180,288.80634
2974181,145.97627
2974182,372.67892
2974183,327.17636
2974184,145.97627
2974185,145.97627
2974186,421.5749
2974187,145.97627
2974188,1740.4011
2974189,145.97627
2974190,145.97627
2974191,141.34302
2974192,141.34302
2974193,141.34302
2974194,1097.6865
2974195,141.34302
2974196,263.59418
2974197,141.34302
2974198,622.09937
2974199,375.04837
2974200,299.503
2974201,211.4942
2974202,141.34302
2974203,1989.1702
2974204,141.34302
2974205,141.34302
2974206,141.34302
2974207,141.34302
2974208,141.34302
2974209,257.7873
2974210,141.34302
2974211,141.34302
2974212,141.34302
2974213,141.34302
2974214,141.34302
2974215,242.99858
2974216,267.23557
2974217,141.34302
2974218,141.34302
2974219,216.45593
2974220,178.92722
2974221,438.20764
2974222,141.34302
2974223,141.34302
2974224,144.80437
2974225,144.80437
2974226,144.80437
2974227,2873.7551
2974228,144.80437
2974229,646.2385
2974230,144.80437
2974231,1955.1415
2974232,742.2555
2974233,442.9129
2974234,254.1324
2974235,221.56541
2974236,5987.4995
2974237,144.80437
2974238,144.80437
2974239,221.56541
2974240,144.80437
2974241,144.80437
2974242,497.66687
2974243,144.80437
2974244,144.80437
2974245,144.80437
2974246,221.56541
2974247,144.80437
2974248,455.25778
2974249,382.2233
2974250,144.80437
2974251,144.80437
2974252,455.00415
2974253,144.80437
2974254,1582.7021
2974255,352.84085
2974256,144.80437
2974257,144.41718
2974258,144.41718
2974259,144.41718
2974260,1220.3588
2974261,144.41718
2974262,273.39478
2974263,144.41718
2974264,657.6389
2974265,371.1372
2974266,304.20236
2974267,211.4942
2974268,178.92722
2974269,2082.0647
2974270,144.41718
2974271,144.41718
2974272,189.34366
2974273,144.41718
2974274,144.41718
2974275,257.7873
2974276,144.41718
2974277,144.41718
2974278,178.92722
2974279,144.41718
2974280,144.41718
2974281,242.99858
2974282,267.23557
2974283,144.41718
2974284,144.41718
2974285,219.53009
2974286,178.92722
2974287,463.54346
2974288,144.41718
2974289,144.41718
2974290,141.34302
2974291,141.34302
2974292,141.34302
2974293,1192.718
2974294,141.34302
2974295,232.73103
2974296,141.34302
2974297,619.74225
2974298,348.991
2974299,299.503
2974300,211.4942
2974301,141.34302
2974302,1951.1509
2974303,141.34302
2974304,141.34302
2974305,178.92722
2974306,141.34302
2974307,141.34302
2974308,257.7873
2974309,141.34302
2974310,141.34302
2974311,141.34302
2974312,141.34302
2974313,141.34302
2974314,224.34236
2974315,267.23557
2974316,141.34302
2974317,141.34302
2974318,200.7969
2974319,141.34302
2974320,426.81873
2974321,141.34302
2974322,141.34302
2974323,144.41718
2974324,144.41718
2974325,144.41718
2974326,913.41705
2974327,144.41718
2974328,277.2214
2974329,144.41718
2974330,713.8233
2974331,388.2168
2974332,304.20236
2974333,211.4942
2974334,178.92722
2974335,1948.9032
2974336,144.41718
2974337,144.41718
2974338,178.92722
2974339,144.41718
2974340,144.41718
2974341,257.7873
2974342,144.41718
2974343,144.41718
2974344,144.41718
2974345,144.41718
2974346,144.41718
2974347,242.99858
2974348,280.32465
2974349,144.41718
2974350,144.41718
2974351,219.53009
2974352,144.41718
2974353,492.7481
2974354,144.41718
2974355,144.41718
2974356,145.97627
2974357,145.97627
2974358,145.97627
2974359,1373.2355
2974360,145.97627
2974361,330.31708
2974362,145.97627
2974363,892.9536
2974364,483.68597
2974365,341.91327
2974366,231.56065
2974367,188.5772
2974368,2610.5574
2974369,145.97627
2974370,145.97627
2974371,288.80634
2974372,145.97627
2974373,145.97627
2974374,287.17377
2974375,145.97627
2974376,145.97627
2974377,145.97627
2974378,188.5772
2974379,145.97627
2974380,254.66223
2974381,342.424
2974382,145.97627
2974383,145.97627
2974384,273.7583
2974385,198.99364
2974386,1142.8477
2974387,145.97627
